"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"74825","41612","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Alpha Low Volatility 30 ETF","INF109KC17V7","Equity ETFs","Y","Y","Broad Market"
"74830","41617","21273","HDFC Mutual Fund","HDFC Nifty Banking ETF","INF179KC1HY0","Equity ETFs","Y","Y","Banks"
"74875","41622","3583","ICICI Prudential Mutual Fund","ICICI Prudential IT ETF","INF109KC16I6","Equity ETFs","Y","Y","IT - Software"
"74967","41653","23411","UTI Mutual Fund","UTI Nifty Bank ETF","INF789F1AUV1","Equity ETFs","Y","Y","Banks"
"75161","41699","6051","SBI Mutual Fund","SBI ETF IT","INF200KA1S14","Equity ETFs","N","Y","IT - Software"
"75162","41698","6051","SBI Mutual Fund","SBI ETF PRIVATE BANK","INF200KA1S22","Equity ETFs","N","Y","Banks"
"75191","41716","35448","Axis Mutual Fund","Axis NIFTY Bank ETF","INF846K01X63","Equity ETFs","N","Y","Banks"
"75218","41717","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 100 ESG Sector Leaders ETF","INF769K01GS9","Equity ETFs","Y","Y","Broad Market"
"75227","41779","38442","Motilal Oswal Mutual Fund","Motilal Oswal 5 Year G-Sec ETF","INF247L01AK4","Debt ETFs","Y","Y","Government Securities"
"75415","41916","20327","Kotak Mahindra Mutual Fund","Kotak IT ETF","INF174KA1GC5","Equity ETFs","N","Y","IT - Software"
"75467","41958","35448","Axis Mutual Fund","Axis Nifty IT ETF","INF846K01Y96","Equity ETFs","Y","Y","IT - Software"
"75471","41967","19712","Nippon India Mutual Fund","Nippon India ETF Nifty 5 Yr Benchmark GSec","INF204KC1030","Debt ETFs","N","Y","Government Securities"
"75636","42054","35448","Axis Mutual Fund","Axis Nifty Healthcare ETF","INF846K01Z12","Equity ETFs","Y","Y","Healthcare"
"75643","42073","3583","ICICI Prudential Mutual Fund","ICICI Prudential Healthcare ETF","INF109KC1Q72","Equity ETFs","Y","Y","Healthcare"
"75652","42000","28628","Mirae Asset Mutual Fund","Mirae Asset NYSE FANG+ ETF","INF769K01HF4","Global ETFs","Y","Y","Global Markets"
"75704","42116","19712","Nippon India Mutual Fund","Nippon India NIFTY Pharma ETF Growth Plan","INF204KC1089","Equity ETFs","Y","Y","Pharmaceuticals"
"75721","42145","6051","SBI Mutual Fund","SBI ETF Consumption","INF200KA1X17","Equity ETFs","N","Y","FMCG"
"75766","42188","3583","ICICI Prudential Mutual Fund","ICICI Prudential FMCG ETF","INF109KC19V3","Equity ETFs","Y","Y","FMCG"
"75775","42205","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Financial Services ETF - RG","INF769K01HI8","Equity ETFs","Y","Y","Financial Services"
"75824","42277","28628","Mirae Asset Mutual Fund","Mirae Asset S&P 500 Top 50 ETF","INF769K01HP3","Global ETFs","Y","Y","Global Markets"
"75849","42268","35448","Axis Mutual Fund","Axis Nifty India Consumption ETF","INF846K016C7","Equity ETFs","Y","Y","FMCG"
"76041","42361","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life NIFTY Healthcare ETF","INF209KB10C2","Equity ETFs","Y","Y","Healthcare"
"76063","42383","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty India Consumption ETF","INF109KC1V42","Equity ETFs","Y","Y","FMCG"
"76064","42382","18585","DSP Mutual Fund","DSP Nifty 50 Equal Weight ETF","INF740KA1QK2","Equity ETFs","Y","Y","Broad Market"
"76067","42392","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty IT ETF","INF209KB11D8","Equity ETFs","Y","Y","IT - Software"
"76240","42492","18585","DSP Mutual Fund","DSP Nifty 50 ETF","INF740KA1CL0","Equity ETFs","Y","Y","Broad Market"
"76241","42499","20327","Kotak Mahindra Mutual Fund","Kotak Nifty Alpha 50 ETF","INF174KA1IA5","Equity ETFs","Y","Y","Broad Market"
"76245","42494","29993","Edelweiss Mutual Fund","Bharat Bond ETF - April 2032","INF754K01OB1","Debt ETFs","Y","Y","Corporate Bond"
"76255","42493","18585","DSP Mutual Fund","DSP Nifty Midcap 150 Quality 50 ETF","INF740KA1ZF3","Equity ETFs","Y","Y","Broad Market"
"76279","42459","28628","Mirae Asset Mutual Fund","Mirae Asset Hang Seng TECH ETF","INF769K01HS7","Global ETFs","Y","Y","Global Markets"
"76283","42520","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nasdaq Q 50 ETF","INF247L01AU3","Global ETFs","Y","Y","Global Markets"
"76380","42561","3583","ICICI Prudential Mutual Fund","ICICI Prudential Silver ETF","INF109KC1Y56","Commodity ETFs","Y","Y","Precious Metals"
"76381","42560","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Auto ETF","INF109KC10V2","Equity ETFs","Y","Y","Automobile"
"76382","42559","19712","Nippon India Mutual Fund","Nippon India Nifty Auto ETF","INF204KC1337","Equity ETFs","N","Y","Automobile"
"76391","42618","20327","Kotak Mahindra Mutual Fund","Kotak Nifty Midcap 50 ETF","INF174KA1ZC5","Equity ETFs","N","Y","Broad Market"
"76396","42628","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty India Manufacturing ETF","INF769K01IB1","Equity ETFs","Y","Y","Manufacturing"
"76398","42637","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Silver ETF","INF209KB19F6","Commodity ETFs","Y","Y","Precious Metals"
"76404","42623","19712","Nippon India Mutual Fund","Nippon India Silver ETF","INF204KC1402","Commodity ETFs","Y","Y","Precious Metals"
"76415","42664","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty 200 Momentum 30 ETF","INF247L01BK2","Equity ETFs","Y","Y","Broad Market"
"76517","42775","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Midcap 150 ETF","INF769K01IC9","Equity ETFs","Y","Y","Broad Market"
"76560","42778","38442","Motilal Oswal Mutual Fund","Motilal Oswal S&P BSE Low Volatility ETF","INF247L01BL0","Equity ETFs","Y","Y","Broad Market"
"76593","42783","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty 5 Yr Benchmark G-Sec ETF","INF109KC14A8","Debt ETFs","Y","Y","Government Securities"
"76601","42810","5431","Tata Mutual Fund","Tata Nifty India Digital ETF","INF277KA1364","Equity ETFs","N","Y","Digital"
"76614","42817","20327","Kotak Mahindra Mutual Fund","Kotak Nifty 100 Low Vol 30 ETF","INF174KA1IY5","Equity ETFs","N","Y","Broad Market"
"77227","42978","38442","Motilal Oswal Mutual Fund","Motilal Oswal S&P BSE Healthcare ETF","INF247L01BB1","Equity ETFs","Y","Y","Healthcare"
"77253","43015","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty 200 Momentum 30 ETF","INF109KC17C7","Equity ETFs","Y","Y","Broad Market"
"77335","42999","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty 200 Momentum 30 ETF","INF209KB14K7","Equity ETFs","Y","Y","Broad Market"
"77336","43000","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty 200 Quality 30 ETF","INF209KB15K4","Equity ETFs","Y","Y","Broad Market"
"77337","43057","38442","Motilal Oswal Mutual Fund","Motilal Oswal S&P BSE Quality ETF Fund","INF247L01BH8","Equity ETFs","Y","Y","Broad Market"
"77338","43064","18585","DSP Mutual Fund","DSP Silver ETF","INF740KA1RE3","Commodity ETFs","Y","Y","Precious Metals"
"77339","43056","38442","Motilal Oswal Mutual Fund","Motilal Oswal S&P BSE Enhanced Value ETF Fund","INF247L01BE5","Equity ETFs","Y","Y","Broad Market"
"77342","43071","20327","Kotak Mahindra Mutual Fund","Kotak Nifty MNC ETF","INF174KA1JF2","Equity ETFs","N","Y","Broad Market"
"77346","43032","20327","Kotak Mahindra Mutual Fund","Kotak Nifty India Consumption ETF","INF174KA1ZF8","Equity ETFs","N","Y","FMCG"
"77458","43031","21273","HDFC Mutual Fund","HDFC Nifty Next 50 ETF","INF179KC1HS2","Equity ETFs","Y","Y","Broad Market"
"77459","43030","21273","HDFC Mutual Fund","HDFC Nifty 100 ETF","INF179KC1HR4","Equity ETFs","Y","Y","Broad Market"
"77572","43097","21273","HDFC Mutual Fund","HDFC Silver ETF","INF179KC1DI2","Commodity ETFs","Y","Y","Precious Metals"
"77618","43072","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Infrastructure ETF","INF109KC16E5","Equity ETFs","Y","Y","Infrastructure Developers & Operators"
"77746","43150","35448","Axis Mutual Fund","Axis Silver ETF","INF846K011K1","Commodity ETFs","N","Y","Precious Metals"
"77818","43160","21273","HDFC Mutual Fund","HDFC Nifty 100 Quality 30 ETF","INF179KC1DL6","Equity ETFs","Y","Y","Broad Market"
"77819","43159","21273","HDFC Mutual Fund","HDFC Nifty 50 Value 20 ETF","INF179KC1DK8","Equity ETFs","Y","Y","Broad Market"
"77820","43161","21273","HDFC Mutual Fund","HDFC Nifty Growth Sectors 15 ETF","INF179KC1DJ0","Equity ETFs","Y","Y","Broad Market"
"77873","43194","21273","HDFC Mutual Fund","HDFC Nifty 200 Momentum 30 ETF","INF179KC1HV6","Equity ETFs","Y","Y","Broad Market"
"77874","43195","21273","HDFC Mutual Fund","HDFC Nifty 100 Low Volatility 30 ETF","INF179KC1HU8","Equity ETFs","Y","Y","Broad Market"
"77993","43339","21273","HDFC Mutual Fund","HDFC Nifty IT ETF","INF179KC1IA8","Equity ETFs","Y","Y","IT - Software"
"77994","43340","21273","HDFC Mutual Fund","HDFC Nifty Private Bank ETF","INF179KC1HZ7","Equity ETFs","Y","Y","Banks"
"78062","43421","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Financial Serv. Ex-Bank ETF","INF109KC17L8","Equity ETFs","Y","Y","Banks"
"78066","43486","20327","Kotak Mahindra Mutual Fund","Kotak Silver ETF","INF174KA1ZD3","Commodity ETFs","N","Y","Precious Metals"
"78135","43525","29993","Edelweiss Mutual Fund","Bharat Bond ETF - April 2033","INF754K01QX0","Debt ETFs","Y","Y","Corporate Bond"
"78307","43562","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF","INF109KC18O0","Debt ETFs","Y","Y","Government Securities"
"78334","43571","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Commodities ETF","INF109KC19O8","Equity ETFs","Y","Y","Commodities"
"78344","43624","18585","DSP Mutual Fund","DSP Nifty Bank ETF","INF740KA1RX3","Equity ETFs","Y","Y","Banks"
"78459","43719","20327","Kotak Mahindra Mutual Fund","Kotak Nifty 1D Rate Liquid ETF","INF174KA1LV5","Debt ETFs","Y","Y","Liquid / Overnight"
"78516","43734","21273","HDFC Mutual Fund","HDFC BSE 500 ETF","INF179KC1EZ4","Equity ETFs","Y","Y","Broad Market"
"78517","43732","21273","HDFC Mutual Fund","HDFC Nifty Midcap 150 ETF","INF179KC1HT0","Equity ETFs","Y","Y","Broad Market"
"78518","43733","21273","HDFC Mutual Fund","HDFC Nifty Small Cap 250 ETF","INF179KC1FB2","Equity ETFs","Y","Y","Broad Market"
"78625","43781","28628","Mirae Asset Mutual Fund","Mirae Asset Gold ETF","INF769K01JP9","Commodity ETFs","Y","Y","Precious Metals"
"78732","43880","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Crisil Liquid Overnight ETF","INF209KB18T9","Debt ETFs","Y","Y","Liquid / Overnight"
"78783","43922","35448","Axis Mutual Fund","AXIS BSE SENSEX ETF","INF846K010Q0","Equity ETFs","Y","Y","Broad Market"
"78785","43921","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 100 Low Volatility 30 ETF","INF769K01JU9","Equity ETFs","Y","Y","Broad Market"
"78791","43920","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty PSU Bank ETF","INF109KC10S8","Equity ETFs","Y","Y","Banks"
"78922","44057","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 8-13 Yr G-Sec ETF","INF769K01KF8","Debt ETFs","Y","Y","Government Securities"
"78986","44083","18585","DSP Mutual Fund","DSP Gold ETF","INF740KA1SW3","Commodity ETFs","Y","Y","Precious Metals"
"79001","44076","23411","UTI Mutual Fund","UTI Silver ETF","INF789F1AYK6","Commodity ETFs","Y","Y","Precious Metals"
"79258","44123","28628","Mirae Asset Mutual Fund","Mirae Asset Silver ETF","INF769K01KG6","Commodity ETFs","Y","Y","Precious Metals"
"91680","44154","18585","DSP Mutual Fund","DSP Nifty IT ETF","INF740KA1SX1","Equity ETFs","Y","Y","IT - Software"
"91739","44199","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Bank ETF","INF769K01KR3","Equity ETFs","Y","Y","Banks"
"91785","44250","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 1D Rate Liquid ETF","INF769K01KS1","Debt ETFs","Y","Y","Liquid / Overnight"
"91799","44216","18585","DSP Mutual Fund","DSP BSE Sensex ETF","INF740KA1SZ6","Equity ETFs","Y","Y","Broad Market"
"91800","44217","18585","DSP Mutual Fund","DSP Nifty Private Bank ETF","INF740KA1TA7","Equity ETFs","Y","Y","Banks"
"91801","44218","18585","DSP Mutual Fund","DSP Nifty PSU Bank ETF","INF740KA1SY9","Equity ETFs","Y","Y","Banks"
"91820","44241","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty 200 Quality 30 ETF","INF109KC18V5","Equity ETFs","Y","Y","Broad Market"
"91886","44293","21273","HDFC Mutual Fund","HDFC Nifty 1D Rate Liquid ETF-Growth","INF179KC1JG3","Debt ETFs","Y","Y","Liquid / Overnight"
"91896","44294","23411","UTI Mutual Fund","UTI Nifty Midcap 150 ETF","INF789F1AYX9","Equity ETFs","Y","Y","Broad Market"
"92030","44338","28628","Mirae Asset Mutual Fund","Mirae Asset S&P BSE Sensex ETF","INF769K01KT9","Equity ETFs","Y","Y","Broad Market"
"92197","44347","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty 500 ETF","INF247L01BU1","Equity ETFs","Y","Y","Broad Market"
"92427","44379","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty IT ETF","INF769K01KV5","Equity ETFs","Y","Y","IT - Software"
"92428","44360","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 200 Alpha 30 ETF","INF769K01KU7","Equity ETFs","Y","Y","Broad Market"
"92431","44396","6051","SBI Mutual Fund","SBI Nifty 1D Rate ETF","INF200KA13Z8","Debt ETFs","Y","Y","Liquid / Overnight"
"92453","44421","29993","Edelweiss Mutual Fund","Edelweiss Gold ETF","INF754K01SE6","Commodity ETFs","N","Y","Precious Metals"
"92516","44440","29993","Edelweiss Mutual Fund","Edelweiss Silver ETF","INF754K01SF3","Commodity ETFs","N","Y","Precious Metals"
"92634","44455","6502","Baroda BNP Paribas Mutual Fund","Baroda BNP Paribas Gold ETF","INF251K01SU9","Commodity ETFs","Y","Y","Precious Metals"
"92713","44550","92399","Zerodha Mutual Fund","Zerodha Nifty 1D Rate Liquid ETF","INF0R8F01034","Debt ETFs","Y","Y","Liquid / Overnight"
"92738","44529","5431","Tata Mutual Fund","Tata Silver Exchange Traded Fund","INF277KA1984","Commodity ETFs","Y","Y","Precious Metals"
"92739","44528","5431","Tata Mutual Fund","Tata Gold Exchange Traded Fund","INF277KA1976","Commodity ETFs","Y","Y","Precious Metals"
"92766","44582","78997","Bajaj Finserv Mutual Fund","Bajaj Finserv Nifty 50 ETF","INF0QA701722","Equity ETFs","Y","Y","Broad Market"
"92767","44583","78997","Bajaj Finserv Mutual Fund","Bajaj Finserv Nifty Bank ETF","INF0QA701714","Equity ETFs","Y","Y","Banks"
"92775","44592","23411","UTI Mutual Fund","UTI Nifty IT ETF","INF789F1AZD8","Equity ETFs","Y","Y","IT - Software"
"92776","44597","23411","UTI Mutual Fund","UTI Nifty 5 yr Benchmark G-Sec ETF","INF789F1AZE6","Debt ETFs","Y","Y","Government Securities"
"92777","44598","23411","UTI Mutual Fund","UTI Nifty 10 yr Benchmark G-Sec ETF","INF789F1AZF3","Debt ETFs","Y","Y","Government Securities"
"92792","44523","18585","DSP Mutual Fund","DSP Nifty Healthcare ETF","INF740KA1ZG1","Equity ETFs","Y","Y","Healthcare"
"92793","44581","21273","HDFC Mutual Fund","HDFC Nifty PSU Bank ETF","INF179KC1HW4","Equity ETFs","Y","Y","Banks"
"92825","44670","17424","LIC Mutual Fund","LIC MF Nifty Midcap 100 ETF","INF767K01RN1","Equity ETFs","Y","Y","Broad Market"
"92844","44691","92399","Zerodha Mutual Fund","Zerodha Gold ETF","INF0R8F01042","Commodity ETFs","Y","Y","Precious Metals"
"92888","44607","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Smallcap 250 Momen.Quali. 100ETF","INF769K01LC3","Equity ETFs","Y","Y","Broad Market"
"92926","44722","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty Realty ETF","INF247L01CI4","Equity ETFs","Y","Y","Realty"
"92927","44723","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty Smallcap 250 ETF","INF247L01CH6","Equity ETFs","Y","Y","Broad Market"
"92978","44764","18585","DSP Mutual Fund","DSP BSE Liquid Rate ETF","INF740KA1UM0","Debt ETFs","Y","Y","Liquid / Overnight"
"93058","44834","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Nifty PSE ETF","INF209KB19Z4","Equity ETFs","Y","Y","Public Sector Enterprises"
"93083","44821","28628","Mirae Asset Mutual Fund","Mirae AN Midsmallcap400 Momentum Quality 100 ETF","INF769K01LJ8","Equity ETFs","Y","Y","Broad Market"
"93101","44859","78997","Bajaj Finserv Mutual Fund","Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth","INF0QA701854","Debt ETFs","Y","Y","Liquid / Overnight"
"93229","44885","92399","Zerodha Mutual Fund","Zerodha Nifty Midcap 150 ETF","INF0R8F01059","Equity ETFs","Y","Y","Broad Market"
"93230","44884","92399","Zerodha Mutual Fund","Zerodha Nifty 100 ETF","INF0R8F01067","Equity ETFs","Y","Y","Broad Market"
"93252","44892","6502","Baroda BNP Paribas Mutual Fund","Baroda BNP Paribas Nifty Bank ETF","INF251K01TL6","Equity ETFs","Y","Y","Banks"
"93278","44938","6051","SBI Mutual Fund","SBI Silver ETF","INF200KB1217","Commodity ETFs","Y","Y","Precious Metals"
"93291","44945","6011","Shriram Mutual Fund","Shriram Nifty 1D Rate Liquid ETF","INF680P01422","Debt ETFs","Y","Y","Liquid / Overnight"
"93293","44950","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life CRISIL Broad Based Gilt ETF","INF209KC1134","Debt ETFs","Y","Y","Government Securities"
"93323","44935","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty EV and New Age Automotive ETF","INF769K01LQ3","Equity ETFs","Y","Y","Automobile"
"93338","44966","6051","SBI Mutual Fund","SBI Nifty50 Equal Weight ETF","INF200KB1282","Equity ETFs","Y","Y","Broad Market"
"93352","44961","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Oil & Gas ETF","INF109KC18W3","Equity ETFs","Y","Y","Energy"
"93502","44981","41332","Groww Mutual Fund","Groww Nifty EV & New Age Automotive ETF","INF666M01IH2","Equity ETFs","N","Y","Automobile"
"93521","45023","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life Crisil 10 Year Gilt ETF","INF209KC1142","Debt ETFs","Y","Y","Government Securities"
"93532","44986","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Metal ETF","INF109KC19W1","Equity ETFs","Y","Y","Metal"
"93558","45053","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty India Defence ETF","INF247L01DJ0","Equity ETFs","Y","Y","Aerospace & Defence"
"93699","45024","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 500 Multicap 50:25:25 ETF","INF769K01LX9","Equity ETFs","Y","Y","Broad Market"
"93831","45025","18585","DSP Mutual Fund","DSP Nifty Top 10 Equal Weight ETF","INF740KA1UR9","Equity ETFs","Y","Y","Broad Market"
"93940","45088","29993","Edelweiss Mutual Fund","Edelweiss Nifty Bank ETF","INF754K01TE4","Equity ETFs","N","Y","Banks"
"93988","45091","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty 500 Momentum 50 ETF","INF247L01DK8","Equity ETFs","Y","Y","Broad Market"
"94009","45115","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Metal ETF","INF769K01LY7","Equity ETFs","Y","Y","Metal"
"94010","45038","41332","Groww Mutual Fund","Groww Nifty India Defence ETF","INF666M01IO8","Equity ETFs","Y","Y","Aerospace & Defence"
"94017","45100","41332","Groww Mutual Fund","Groww Nifty 1D Rate Liquid ETF","INF666M01IP5","Debt ETFs","Y","Y","Liquid / Overnight"
"94021","45133","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty200 Value 30 ETF","INF109KC16X5","Equity ETFs","Y","Y","Broad Market"
"94089","45118","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty PSU Bank ETF","INF769K01LZ4","Equity ETFs","Y","Y","Banks"
"94119","45166","41332","Groww Mutual Fund","Groww Gold ETF","INF666M01OE7","Commodity ETFs","Y","Y","Precious Metals"
"94134","45185","29993","Edelweiss Mutual Fund","Edelweiss Nifty500 Multicap Momentum Qual. 50 ETF","INF754K01TF1","Equity ETFs","N","Y","Broad Market"
"94149","45243","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 1D Rate Liquid ETF-Growth","INF769K01MY5","Debt ETFs","Y","Y","Liquid / Overnight"
"94325","45374","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty India New Age Consumption ETF","INF769K01NS5","Equity ETFs","Y","Y","FMCG"
"94336","45369","29993","Edelweiss Mutual Fund","Edelweiss BSE Capital Markets & Insurance ETF","INF754K01TX4","Equity ETFs","Y","Y","Insurance"
"94507","45413","18585","DSP Mutual Fund","DSP BSE SENSEX Next 30 ETF","INF740KA1VE5","Equity ETFs","Y","Y","Broad Market"
"94517","45414","41332","Groww Mutual Fund","Groww Nifty India Railways PSU ETF","INF666M01JJ6","Equity ETFs","Y","Y","Railways"
"94547","45506","41236","Union Mutual Fund","Union Gold ETF","INF582M01KS4","Commodity ETFs","Y","Y","Precious Metals"
"94567","45494","20327","Kotak Mahindra Mutual Fund","Kotak MSCI India ETF","INF174KA1VD2","Equity ETFs","N","Y","Broad Market"
"94569","45515","41332","Groww Mutual Fund","Groww Nifty 200 ETF","INF666M01JV1","Equity ETFs","N","Y","Broad Market"
"94579","45497","20327","Kotak Mahindra Mutual Fund","Kotak Nifty 100 Equal Weight ETF","INF174KA1UW4","Equity ETFs","N","Y","Broad Market"
"94582","45518","94508","Angel One Mutual Fund","Angel One Nifty Total Market ETF","INF1J2R01015","Equity ETFs","N","Y","Broad Market"
"94597","45597","38442","Motilal Oswal Mutual Fund","Motilal Oswal Nifty Capital Market ETF","INF247L01EV3","Equity ETFs","Y","Y","Financial Services"
"94612","45547","28628","Mirae Asset Mutual Fund","Mirae Asset BSE Select IPO ETF","INF769K01ON4","Equity ETFs","Y","Y","Broad Market"
"94613","45537","41331","360 ONE Mutual Fund","360 ONE Gold ETF","INF579M01BB5","Commodity ETFs","Y","Y","Precious Metals"
"94614","45546","28628","Mirae Asset Mutual Fund","Mirae Asset BSE 200 Equal Weight ETF","INF769K01OA1","Equity ETFs","Y","Y","Broad Market"
"94620","45580","3583","ICICI Prudential Mutual Fund","ICICI Prudential BSE Liquid Rate ETF - Growth","INF109K1A021","Debt ETFs","Y","Y","Liquid / Overnight"
"94621","45595","35448","Axis Mutual Fund","Axis Nifty500 Value 50 ETF","INF846KA1119","Equity ETFs","Y","Y","Broad Market"
"94631","45596","92399","Zerodha Mutual Fund","Zerodha Silver ETF","INF0R8F01091","Commodity ETFs","Y","Y","Precious Metals"
"94632","45613","6051","SBI Mutual Fund","SBI BSE PSU Bank ETF","INF200KB1712","Equity ETFs","Y","Y","Banks"
