"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"96169","46193","21271","Bandhan Mutual Fund","Bandhan Gold ETF","INF194KB1KJ7","Commodity ETFs","Y","Y","Precious Metals"
"96178","46169","18585","DSP Mutual Fund","DSP Nifty Smallcap 250 ETF","INF740KA1WX3","Equity ETFs","Y","Y","Broad Market"
"96179","46164","18585","DSP Mutual Fund","DSP Nifty Midcap 150 ETF","INF740KA1WW5","Equity ETFs","Y","Y","Broad Market"
"96180","46196","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty Top 20 Equal Weight ETF","INF769K01PZ5","Equity ETFs","Y","Y","Broad Market"
"96181","46195","28628","Mirae Asset Mutual Fund","Mirae Asset BSE 500 Dividend Leaders 50 ETF","INF769K01PY8","Equity ETFs","Y","Y","Broad Market"
"96356","46185","41332","Groww Mutual Fund","Groww Nifty Metal ETF","INF666M01NI0","Equity ETFs","N","Y","Metal"
"96376","46230","95771","The Wealth Company Mutual Fund","The Wealth Company Gold ETF","INF2F0001370","Commodity ETFs","Y","Y","Precious Metals"
"96399","46231","18585","DSP Mutual Fund","DSP Nifty Next 50 ETF","INF740KA1XU7","Equity ETFs","Y","Y","Broad Market"
"96412","46236","20327","Kotak Mahindra Mutual Fund","Kotak Nifty Next 50 ETF","INF174KA1YO3","Equity ETFs","N","Y","Broad Market"
"96415","46257","41332","Groww Mutual Fund","Groww Nifty Chemicals ETF","INF666M01NP5","Equity ETFs","N","Y","Chemicals"
"96450","46304","41332","Groww Mutual Fund","Groww Nifty PSE ETF","INF666M01NQ3","Equity ETFs","N","Y","Public Sector Enterprises"
"96452","46309","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 500 Healthcare ETF","INF769K01QA6","Equity ETFs","Y","Y","Healthcare"
"96453","46316","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty India Infrastr. & Logistics ETF","INF769K01QB4","Equity ETFs","Y","Y","Infrastructure Developers & Operators"
"96456","46321","28628","Mirae Asset Mutual Fund","Mirae Asset BSE India Defence ETF","INF769K01QC2","Equity ETFs","Y","Y","Aerospace & Defence"
"96459","46362","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life MSCI India ETF","INF209KC1662","Equity ETFs","Y","Y","Broad Market"
"96479","46353","94508","Angel One Mutual Fund","Angel One Silver ETF","INF1J2R01171","Commodity ETFs","N","Y","Precious Metals"
"96483","46367","5946","Aditya Birla Sun Life Mutual Fund","Aditya Birla Sun Life BSE Top 10 Banks ETF","INF209KC1670","Equity ETFs","Y","Y","Banks"
"96489","46344","41332","Groww Mutual Fund","Groww BSE Hospitals ETF","INF666M01OD9","Equity ETFs","Y","Y","Healthcare"
"96490","46372","6051","SBI Mutual Fund","SBI Nifty Midcap 150 Momentum 50 ETF","INF200KB1AJ0","Equity ETFs","Y","Y","Broad Market"
"96502","46397","18585","DSP Mutual Fund","DSP BSE Top 10 Banks ETF","INF740KA1YH2","Equity ETFs","Y","Y","Banks"
"96532","46435","28628","Mirae Asset Mutual Fund","Mirae Asset Nifty 500 Value 50 ETF","INF769K01QV2","Equity ETFs","Y","Y","Broad Market"
"96533","46436","22962","HSBC Mutual Fund","HSBC Gold ETF","INF336L01RX2","Commodity ETFs","Y","Y","Precious Metals"
"96534","46426","41332","Groww Mutual Fund","Groww Nifty PSU Bank ETF","INF666M01OG2","Equity ETFs","N","Y","Banks"
"96768","46465","38442","Motilal Oswal Mutual Fund","Motilal Oswal BSE Top 10 Banks ETF","INF247L01GV8","Equity ETFs","N","Y","Banks"
"96773","46441","6051","SBI Mutual Fund","SBI Nifty Midcap 150 ETF","INF200KB1AK8","Equity ETFs","Y","Y","Broad Market"
"96873","46494","18585","DSP Mutual Fund","DSP Nifty FMCG ETF","INF740KA1ZA4","Equity ETFs","Y","Y","FMCG"
"96881","46491","29993","Edelweiss Mutual Fund","Edelweiss Nifty Next 50 ETF","INF754K01XF3","Equity ETFs","Y","Y","Broad Market"
"96882","46492","6051","SBI Mutual Fund","SBI Nifty Smallcap 250 ETF","INF200KB1AY9","Equity ETFs","Y","Y","Broad Market"
"96883","46493","6051","SBI Mutual Fund","SBI Nifty200 Value 30 ETF","INF200KB1AX1","Equity ETFs","Y","Y","Broad Market"
"96903","46484","41332","Groww Mutual Fund","Groww Nifty Private Bank ETF","INF666M01OT5","Equity ETFs","N","Y","Banks"
"96912","46511","41331","360 ONE Mutual Fund","360 ONE MSCI India ETF","INF579M01BP5","Equity ETFs","Y","Y","Broad Market"
"97002","46516","41332","Groww Mutual Fund","Groww Nifty Smallcap 250 Momentum Quality 100 ETF","INF666M01PG9","Equity ETFs","N","Y","Broad Market"
"97091","46529","3583","ICICI Prudential Mutual Fund","ICICI Prudential Nifty Smallcap 250 ETF","INF109K1A476","Equity ETFs","Y","Y","Broad Market"
"97275","46591","78997","Bajaj Finserv Mutual Fund","Bajaj Finserv BSE Top 10 Banks ETF","INF0QA701CI0","Equity ETFs","Y","Y","Banks"
"97276","46579","23411","UTI Mutual Fund","UTI Nifty 1D Rate Liquid ETF - Growth","INF789F1AG68","Debt ETFs","Y","Y","Liquid / Overnight"
"97287","46562","28628","Mirae Asset Mutual Fund","Mirae Asset BSE Midcap 150 Momentum 30 ETF","INF769K01RC0","Equity ETFs","Y","Y","Broad Market"
"97288","46578","20327","Kotak Mahindra Mutual Fund","Kotak Nifty Private Bank ETF","INF174KA1A94","Equity ETFs","N","Y","Banks"
"97416","46577","29993","Edelweiss Mutual Fund","Edelweiss Nifty Metal ETF","INF754K01XG1","Equity ETFs","N","Y","Metal"
"97417","46587","41332","Groww Mutual Fund","Groww Nifty Cements ETF","INF666M01PH7","Equity ETFs","N","Y","Broad Market"
"97445","46592","28628","Mirae Asset Mutual Fund","Mirae ANfy200 Mom. 30 Plus 8-13 yr GSec 50:50 ETF","INF769K01RJ5","Equity ETFs","Y","Y","Government Securities"
"97446","46605","21273","HDFC Mutual Fund","HDFC Nifty Metal ETF","INF179KC1KT4","Equity ETFs","Y","Y","Metal"
