"co_code","bsecode","nsesymbol","companyname","companyshortname","categoryname","isin","bsegroup","mcap","mcaptype","displaytype","sectorcode","sectorname","industrycode","industryname","bselistedflag","nselistedflag","BSEStatus","NSEStatus"
"33967","544543","BMWVENTLTD","BMW Ventures Ltd","BMW Ventures","Company","INE965W01036","B","496.88","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","Y","Active","Active"
"35223","1135","undefined","BSE IPO","BSE IPO","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","Yes","No","undefined","undefined"
"39642","539314","undefined","Universal Autofoundry Ltd","Universal Auto.","Company","INE203T01012","B","65.13","Small Cap","MAN","00000010","Castings, Forgings & Fastners","00000042","Castings - Grey Iron","Y","N","Active","Not Listed"
"40479","533499","BGLOBAL","Bharatiya Global Infomedia Ltd","Bharatiya Glob.","Company","INE224M01013","Z","5.31","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","Y","Y","Suspended","Active"
"40768","544118","JSFB","Jana Small Finance Bank Ltd","Jana Small Finan","Company","INE953L01027","A","6150.04","Small Cap","BANK","00000006","Banks","00000034","Banks - Private Sector","Y","Y","Active","Active"
"41328","512457","CNXAUTO","Nifty Auto","Nifty Auto","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","No","Yes","undefined","undefined"
"41383","500475","CNXCOMMODI","Nifty Commodities","Nfty Commodities","Indices","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","No","Yes","undefined","undefined"
"42512","542933","UNIVPHOTO","Universus Photo Imagings Ltd","Universus Photo","Company","INE03V001013","T","492.65","Small Cap","MAN","00000017","Consumer Durables","00000231","Photographic And Allied Products","Y","Y","Active","Active"
"42562","534680","SRGHFL","SRG Housing Finance Ltd","SRG Housing","Company","INE559N01010","B","415.07","Small Cap","FIN","00000026","Finance","00000142","Finance - Housing - Medium / Small","Y","Y","Active","Active"
"42712","544022","ASKAUTOLTD","ASK Automotive Ltd","ASK Automotive","Company","INE491J01022","B","12249.46","Small Cap","MAN","00000004","Auto Ancillaries","00000031","Auto Ancillaries - Others","Y","Y","Active","Active"
"79226","79226","DRONE","Drone Destination Ltd","Drone Destinatio","Company","INE0P7201019","undefined","89.55","Small Cap","MAN","00000073","Education","00000329","Miscellaneous - Medium / Small","N","Y","Not Listed","Active"
"80203","80203","SHYAMDHANI","Shyam Dhani Industries Ltd","Shyam Dhani Ind.","Company","INE1CRP01016","undefined","112.58","Small Cap","MAN","00000027","FMCG","00000156","Food - Processing - Spices / Pickles","N","Y","Not Listed","Active"
"86391","544307","VMM","Vishal Mega Mart Ltd","Vishal Mega Mart","Company","INE01EA01019","A","48534.62","Mid Cap","MAN","00000054","Retail","00000316","Trading - Large","Y","Y","Active","Active"
"86600","544487","PATELRMART","Patel Retail Ltd","Patel Retail","Company","INE0R8B01010","B","784.24","Small Cap","MAN","00000054","Retail","00000317","Trading - Medium / Small","Y","Y","Active","Active"
"90914","544095","EPACK","Epack Durable Ltd","Epack Durable","Company","INE0G5901015","B","1948.15","Small Cap","MAN","00000017","Consumer Durables","00000002","Air-conditioners","Y","Y","Active","Active"
"91610","544340","undefined","Rikhav Securities Ltd","Rikhav Securitie","Company","INE0CFH01028","M","175.57","Small Cap","FIN","00000058","Stock/ Commodity Brokers","00000338","Securities/Commodities Trading Services","Y","N","Active","Not Listed"
"91646","91646","BAWEJA","Baweja Studios Ltd","Baweja Studios L","Company","INE0JFJ01011","undefined","43.03","Small Cap","MAN","00000024","Entertainment","00000131","Entertainment - Electronic Media","N","Y","Not Listed","Active"
"91663","91663","HIGREEN","Hi-Green Carbon Ltd","Hi-Green Carbon","Company","INE0PIC01017","undefined","331.62","Small Cap","MAN","00000014","Chemicals","00000041","Carbon Black","N","Y","Not Listed","Active"
"91727","91727","CELLECOR","Cellecor Gadgets Ltd","Cellecor Gadgets","Company","INE0OMO01025","undefined","698.11","Small Cap","MAN","00000054","Retail","00000317","Trading - Medium / Small","N","Y","Not Listed","Active"
"92432","544615","KSR","KSR Footwear Ltd","KSR Footwear","Company","INE1SPP01016","B","50.54","Small Cap","MAN","00000035","Leather","00000178","Leather / Synthetic Footware - Medium / Small","Y","Y","Active","Active"
"92465","92465","ACCENTMIC","Accent Microcell Ltd","Accent Microcell","Company","INE0Q5D01013","undefined","1451.46","Small Cap","MAN","00000046","Pharmaceuticals","00000225","Pharmaceuticals - Indian - Bulk Drugs & Formln M/S","N","Y","Not Listed","Active"
"92604","544141","undefined","Pune e-Stock Broking Ltd","Pune e","Company","INE510U01018","M","452.99","Small Cap","FIN","00000058","Stock/ Commodity Brokers","00000338","Securities/Commodities Trading Services","Y","N","Active","Not Listed"
"92643","92643","AIMTRON","Aimtron Electronics Ltd","Aimtron","Company","INE0RUV01018","undefined","3491.14","Small Cap","MAN","00000076","Electronics","00000118","Electronics - Others","N","Y","Not Listed","Active"
"92702","544170","undefined","Dolphin Kitchen Utensils and Appliances Limited","Dolphin Kitchen Utensils","Company","INE0QXT01018","M","10.67","Small Cap","MAN","00000017","Consumer Durables","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"92726","92726","SEITINVIT","Sustainable Energy Infra Trust","Sustainable Ener","Company","INE0R8O23017","undefined","4017.6","Small Cap","POWER","00000082","Infrastructure Developers & Operators","00000243","Power Generation And Supply","N","Y","Not Listed","Active"
"92739","590140","TATAGOLD","Tata Gold Exchange Traded Fund","Tata Gold ETF","Company","INF277KA1976","E","undefined","undefined","undefined","00000069","ETF","undefined","undefined","Y","Y","Active","Active"
"92793","544110","HDFCPSUBK","HDFC Nifty PSU Bank ETF","HDFC Nifty PSU","Company","INF179KC1HW4","B","undefined","undefined","undefined","00000069","ETF","undefined","undefined","Y","Y","Active","Active"
"92836","92836","MASON","Mason Infratech Ltd","Mason Infratech","Company","INE0SH001010","undefined","287.16","Small Cap","MAN","00000051","Realty","00000077","Construction - Factories / Offices / Commercial","N","Y","Not Listed","Active"
"92839","92839","TBI","TBI Corn Ltd","TBI Corn","Company","INE0N2D01013","undefined","106.95","Small Cap","MAN","00000027","FMCG","00000157","Food - Processing - Others","N","Y","Not Listed","Active"
"92942","92942","CKKRETAIL","C K K Retail Mart Ltd","C K K Retail","Company","INE0SMX01019","undefined","281.03","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","N","Y","Not Listed","Active"
"92959","544439","CRIZAC","Crizac Ltd","Crizac","Company","INE0S4R01014","B","3025.45","Small Cap","MAN","00000073","Education","00000329","Miscellaneous - Medium / Small","Y","Y","Active","Active"
"93045","93045","AESTHETIK","Aesthetik Engineers Ltd","Aesthetik Engi.","Company","INE0TSF01011","undefined","123.99","Small Cap","MAN","00000032","Infrastructure Developers & Operators","00000076","Construction - Civil / Turnkey - Medium / Small","N","Y","Not Listed","Active"
"93184","93184","SAJHOTELS","Saj Hotels Ltd","Saj Hotels","Company","INE00MT01022","undefined","67.73","Small Cap","HOTEL","00000031","Hospitality","00000170","Hotels - Small","N","Y","Not Listed","Active"
"93343","93343","SATKARTAR","Sat Kartar Life Ltd","Sat Kartar Life","Company","INE0NB801022","undefined","183.38","Small Cap","MAN","00000046","Pharmaceuticals","00000227","Pharmaceuticals - Indian - Formulations","N","Y","Not Listed","Active"
"93475","93475","RAJPUTANA","Rajputana Biodiesel Ltd","Rajputana Bio.","Company","INE0VHU01019","undefined","154.7","Small Cap","MAN","00000039","Power","00000329","Miscellaneous - Medium / Small","N","Y","Not Listed","Active"
"93479","93479","OBSCP","OBSC Perfection Ltd","OBSC Perfection","Company","INE0YHV01011","undefined","2158.62","Small Cap","MAN","00000004","Auto Ancillaries","00000031","Auto Ancillaries - Others","N","Y","Not Listed","Active"
"93582","93582","DIVINEHIRA","Divine Hira Jewellers Ltd","Divine Hira Jew.","Company","INE0NA501011","undefined","437.99","Small Cap","MAN","00000020","Diamond, Gems and Jewellery","00000087","Diamond Cutting / Jewellery - Medium / Small","N","Y","Not Listed","Active"
